temperature,humidity,lux,flux
26.69,37.68,104,0
26.75,37.69,104,-2.61
26.75,37.7,104,-2.61
26.75,37.71,104,-5.22
26.75,37.72,104,2.61
26.75,37.73,104,0
26.75,37.74,104,2.61
26.75,37.73,104,0
26.75,37.74,104,-5.22
26.75,37.73,104,-2.61
26.75,37.73,104,2.61
26.75,37.74,104,-5.22
26.75,37.76,104,2.61
26.75,37.77,104,5.22
26.75,37.78,104,-2.61
26.75,37.78,104,0
26.75,37.8,104,-5.22
26.75,37.82,96,0
26.75,37.83,88,7.83
26.81,37.84,96,-2.61
26.75,37.86,96,7.83
26.75,37.88,111,5.22
26.75,37.9,111,5.22
26.69,37.92,111,10.44
26.75,37.93,111,10.44
26.75,37.95,111,2.61
26.75,37.97,111,10.44
26.81,38,111,7.83
26.75,38.03,111,-2.61
26.81,38.07,111,-2.61
26.81,38.1,111,0
26.81,38.12,111,0
26.81,38.15,111,2.61
26.81,38.17,111,0
26.81,38.19,111,5.22
26.81,38.22,111,5.22
26.81,38.24,111,2.61
26.81,38.27,111,0
26.81,38.27,111,-2.61
26.81,38.28,111,-2.61
26.81,38.28,111,5.22
26.81,38.28,111,-2.61
26.81,38.28,111,-5.22
26.81,38.29,111,0
26.81,38.31,111,-5.22
26.81,38.32,111,-7.83
26.81,38.33,111,-10.44
26.87,38.35,111,-5.22
26.87,38.35,111,-7.83
26.87,38.36,111,-7.83
26.87,38.36,111,-7.83
26.87,38.38,111,-7.83
26.94,38.38,111,0
26.94,38.4,111,-5.22
26.87,38.4,111,-2.61
26.87,38.41,111,0
26.87,38.43,111,0
26.94,38.44,111,0
26.94,38.45,111,-5.22
26.94,38.47,111,-7.83
26.94,38.48,111,-2.61
26.87,38.49,111,-5.22
26.87,38.51,111,-5.22
26.87,38.51,111,-2.61
26.94,38.53,111,5.22
26.94,38.54,96,2.61
26.94,38.56,111,-2.61
26.87,38.57,96,-2.61
26.94,38.59,96,-2.61
26.87,38.61,111,-5.22
26.94,38.61,96,-5.22
26.94,38.64,96,-5.22
26.94,38.66,96,-7.83
26.94,38.67,96,5.22
26.94,38.69,96,-2.61
26.94,38.71,96,-2.61
26.94,38.73,96,2.61
26.94,38.75,96,-2.61
26.94,38.77,96,-2.61
26.94,38.8,96,0
26.94,38.81,96,-2.61
26.94,38.82,96,-5.22
26.94,38.83,96,0
26.94,38.84,96,0
27,38.85,96,7.82
26.94,38.86,96,5.22
26.94,38.88,96,7.83
27,38.89,96,5.21
26.94,38.9,96,2.61
26.94,38.92,96,7.83
27,38.93,96,5.21
27,38.95,96,2.61
27,38.97,96,7.82
27,38.99,96,0
26.94,39.01,96,2.61
27,39.04,96,0
27,39.08,96,0
26.94,39.09,96,2.61
27,39.09,96,0
27,39.1,96,0
27,39.11,96,-2.61
27,39.12,96,7.82
27,39.13,96,2.61
27,39.14,111,-2.61
27,39.14,96,-5.21
27,39.15,96,0
27,39.16,96,2.61
27,39.18,96,0
27,39.19,111,0
27,39.2,111,2.61
27,39.21,96,0
27,39.21,96,0
27,39.22,96,2.61
27,39.23,96,0
27,39.23,96,0
27,39.23,96,0
27,39.24,96,0
27,39.25,96,7.82
27,39.25,111,0
27,39.25,96,0
27.06,39.26,111,0
27,39.27,111,2.61
27,39.28,111,0
27,39.28,96,-2.61
27,39.31,111,0
27.06,39.31,111,-2.61
27,39.33,111,0
27.06,39.34,111,-7.82
27,39.35,111,0
27.06,39.35,111,2.61
27.06,39.37,111,5.21
27.06,39.38,111,0
27,39.38,111,-2.61
27.06,39.4,96,-2.61
27.06,39.41,96,7.82
27.06,39.43,96,0
27,39.44,96,2.61
27.06,39.47,96,2.61
27.06,39.49,96,5.21
27,39.54,96,5.21
27,39.57,96,-2.61
27,39.6,96,0
27,39.63,96,0
27.06,39.65,96,0
27.06,39.67,96,-2.61
27.06,39.7,96,2.61
27.06,39.72,96,0
27.06,39.74,96,-2.61
27.06,39.77,96,-5.21
27.06,39.82,96,-2.61
27.06,39.86,96,2.61
27.06,39.89,96,5.21
27.06,39.89,96,5.21
27.06,39.87,96,5.21
27.06,39.86,96,13.04
27.06,39.86,96,10.43
27.06,39.83,96,5.21
27.06,39.83,96,0
